Pre,M,N,D,PR,SI,Lm,IP,BL,DoMax,DoMin,WMax,WMin,DsMax,WsMax,AR,LR_RL,LR_BL,A,D,FH,G,DF,QS
*,25.5,8.75,10.0,12,,"7,140",85,"21,420",25.6,24.7,8.65,8.25,22.85,7.7,0.89,10.3,,5.5,10,0.91,1.5,11.82,
,25.75,6.75,14.0,14,210,"10,300",237,"30,900",25.75,25.1,6.75,6.35,23.65,5.95,0.87,11.2,,5,14,1,1.7,16,TSO-C62 
,25.75,6.75,14.0,16,210,"11,900",275,"35,700",25.75,25.1,6.75,6.35,23.65,5.95,0.87,11.2,,5,14,1,1.7,16,TSO-C62 
,26.0,6.6,,8,,"5,300",120,"15,900",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,8.9,5,14,1,1.4,16,
,26.0,6.6,,10,210,"6,900",155,"20,700",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.2,5,14,1,1.4,16,TSO-C62 
,26.0,6.6,,10,225,"6,900",155,"20,700",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.2,5,14,1,1.4,16,TSO-C62 
,26.0,6.6,,12,225,"8,600",185,"25,800",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.4,5,14,1,1.5,16,TSO-C62 
,26.0,6.6,,14,200,"10,000",225,"30,000",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.4,5,14,1,1.7,16,MIL-T-5041 
,26.0,6.6,,14,210,"10,000",225,"30,000",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.4,5,14,1,1.7,16,TSO-C62 
,26.0,6.6,,16,174 kt ,"12,000",270,"36,000",25.75,25.05,6.65,6.25,23.55,5.85,0.88,11.2,9.4,5,14,1,1.7,16,MIL-T-5041 
,26.0,6.75,14.0,14,,"10,300",230,"30,900",26,25.3,6.75,6.35,23.85,5.95,0.89,11.3,9.2,5,14,1,1.7,16,
,26.0,6.75,14.0,16,,"11,900",270,"35,700",26,25.3,6.75,6.35,23.85,5.95,0.89,11.3,9.2,5,14,1,1.9,16,
*,26.0,7.75,13.0,8,,"5,600",86,"16,800",26.3,25.3,7.9,7.45,23.9,6.95,0.84,11.1,8.6,6,13,0.7,1.31,14.4,
*,26.0,7.75,13.0,10,,"7,250",110,"21,750",26.3,25.5,7.9,7.45,23.9,6.95,0.84,11.1,8.6,6,13,0.7,1.5,14.4,
*,26.0,7.75,13.0,10,,"8,100",125,"24,300",26.3,25.5,7.9,7.45,23.9,6.95,0.84,11,,6.6,13,0.7,1.5,14.4,
*,26.0,7.75,13.0,12,,"8,950",135,"26,850",26.3,25.5,7.9,7.45,23.9,6.95,0.84,11,,6.6,13,0.7,1.5,14.4,
*,26.0,7.75,13.0,14,,"10,760",161,"32,280",26.3,25.5,7.9,7.45,23.9,6.95,0.84,11,,6.6,13,0.7,1.8,14.4,
,26.0,8.0,14.0,16,239 kt ,"12,700",235,"38,100",26,25.3,8,7.5,23.85,6,0.75,11.2,9.6,6.38,14,1.125,2.1,16.25,MIL-T-5041 
,26.0,8.0,14.0,18,,"14,480",265,"43,440",26,25.3,8,7.5,23.85,6,0.75,11.2,9.6,6.38,14,1.125,2.1,16.25,
